"ERROR","DESCRIPTION"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2015-05-12 00:00:00, probe VPDPRI01, total number of observations: 276"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2015-05-03 00:00:00, probe VPDCEN01, total number of observations: 166"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2015-05-03 00:00:00, probe VPDCEN04, total number of observations: 166"
"incompleteday","Incomplete or overfilled day-AIRTEMP (called first):  2015-05-12 00:00:00, probe VPDPRI04, total number of observations: 276"
