"ERROR","DESCRIPTION"
"incompleteday","Incomplete or overfilled day, 2015-05-03 00:00:00, probe DEWCEN01, total number of observations: 166"
"incompleteday","Incomplete or overfilled day, 2015-05-03 00:00:00, probe DEWCEN04, total number of observations: 166"
