"ERROR","DESCRIPTION"
"incompleteday","Incomplete or overfilled day:  2015-04-16 00:00:00, probe SOICEN04, total number of observations: 21"
"incompleteday","Incomplete or overfilled day:  2015-04-16 00:00:00, probe SOICEN03, total number of observations: 21"
"incompleteday","Incomplete or overfilled day:  2015-04-16 00:00:00, probe SOICEN02, total number of observations: 21"
"incompleteday","Incomplete or overfilled day:  2015-04-16 00:00:00, probe SOICEN01, total number of observations: 21"
